seed,provisioning_delay_epochs,horizon_epochs,miss_to_action_cost_ratio,policy,test_epochs,severe_event_prevalence,training_severe_p95_threshold_ms,missed_event_fraction,event_coverage_fraction,action_rate,normalized_cost,threshold
20260728,1,2,5,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,0.24000000000000002,
20260728,1,2,5,snapshot_tuned,50,0.04,41.21500000000003,0.04,0.0,0.14,0.34,0.07083837802707411
20260728,1,2,5,satcap_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.2,1.0
20260728,1,2,5,delay_aware_hybrid,50,0.04,41.21500000000003,0.04,0.0,0.08,0.28,1.0
20260728,1,2,10,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.4,
20260728,1,2,10,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,1,2,10,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,0.44,
20260728,1,2,10,snapshot_tuned,50,0.04,41.21500000000003,0.04,0.0,0.14,0.54,0.07083837802707411
20260728,1,2,10,satcap_tuned,50,0.04,41.21500000000003,0.04,0.0,0.04,0.44,0.07965981317300531
20260728,1,2,10,delay_aware_hybrid,50,0.04,41.21500000000003,0.04,0.0,0.08,0.48000000000000004,1.0
20260728,1,2,20,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.8,
20260728,1,2,20,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,1,2,20,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,0.8400000000000001,
20260728,1,2,20,snapshot_tuned,50,0.04,41.21500000000003,0.04,0.0,0.14,0.9400000000000001,0.07083837802707411
20260728,1,2,20,satcap_tuned,50,0.04,41.21500000000003,0.02,0.5,0.3,0.7,0.07615763792835688
20260728,1,2,20,delay_aware_hybrid,50,0.04,41.21500000000003,0.04,0.0,0.14,0.9400000000000001,0.08058527302965168
20260728,1,2,50,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,2.0,
20260728,1,2,50,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,1,2,50,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,2.04,
20260728,1,2,50,snapshot_tuned,50,0.04,41.21500000000003,0.04,0.0,0.14,2.14,0.07083837802707411
20260728,1,2,50,satcap_tuned,50,0.04,41.21500000000003,0.02,0.5,0.3,1.3,0.07615763792835688
20260728,1,2,50,delay_aware_hybrid,50,0.04,41.21500000000003,0.04,0.0,0.14,2.14,0.08058527302965168
20260728,1,2,100,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,4.0,
20260728,1,2,100,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,1,2,100,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,4.04,
20260728,1,2,100,snapshot_tuned,50,0.04,41.21500000000003,0.04,0.0,0.14,4.14,0.07083837802707411
20260728,1,2,100,satcap_tuned,50,0.04,41.21500000000003,0.02,0.5,0.3,2.3,0.07615763792835688
20260728,1,2,100,delay_aware_hybrid,50,0.04,41.21500000000003,0.04,0.0,0.14,4.14,0.08058527302965168
20260728,2,3,1,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.04,
20260728,2,3,1,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,2,3,1,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,0.08,
20260728,2,3,1,snapshot_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.04,1.0
20260728,2,3,1,satcap_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.04,1.0
20260728,2,3,1,delay_aware_hybrid,50,0.04,41.21500000000003,0.04,0.0,0.08,0.12,1.0
20260728,2,3,2,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.08,
